"One Love / People Get Ready","Bob Marley & The Wailers","Legend - The Best Of Bob Marley And The Wailers","People Jams","Playlist","GBAAN7790002"
"Ride Like the Wind","Christopher Cross","Christopher Cross","People Jams","Playlist","USWB19901342"
"Drive By","Train","California 37","People Jams","Playlist","USSM11106876"
"Somebody to Love","Jefferson Airplane","Surrealistic Pillow","People Jams","Playlist","USRC10301008"
"It's a Long Way to the Top (If You Wanna Rock 'n' Roll)","AC/DC","Bonfire","People Jams","Playlist","USSM11206434"
"Can't Take My Eyes off You","Frankie Valli","Solo","People Jams","Playlist","USRH11000238"
"Copacabana","Barry Manilow","The Complete Collection...And Then Some","People Jams","Playlist","USAR19200129"
"Crazy Train","Ozzy Osbourne","Blizzard Of Ozz (40th Anniversary Expanded Edition)","People Jams","Playlist","USSM11002845"
"T.N.T.","AC/DC","High Voltage","People Jams","Playlist","AUAP07600012"
"Somebody's Watching Me","Rockwell","Somebody's Watching Me","People Jams","Playlist","USMO18400484"
"Bad","Michael Jackson","Bad (25th Anniversary)","People Jams","Playlist","USSM11204980"
"Hey There Delilah","Plain White T's","All That We Needed","People Jams","Playlist","US5260507213"
"Vienna","Billy Joel","The Stranger","People Jams","Playlist","USSM17700373"
"Tell Her About It","Billy Joel","An Innocent Man","People Jams","Playlist","USSM18300272"
"The Night Begins to Shine","B.E.R.","The Night Begins to Shine","People Jams","Playlist","USXFD1500002"
"I Was Made For Lovin' You","Kiss","Dynasty","People Jams","Playlist","USPR39330175"
"Hey Jude","The Beatles","1","People Jams","Playlist","GBUM71505902"
"Adventure of a Lifetime","Coldplay","A Head Full of Dreams","People Jams","Playlist","GBAYE1500981"
"Raspberry Beret","Prince & The Revolution","Around the World in a Day","People Jams","Playlist","USWB19902876"
"L-O-V-E","Nat King Cole","L-O-V-E","People Jams","Playlist","USCA29000091"
"Don't Stop 'Til You Get Enough","Michael Jackson","Off the Wall","People Jams","Playlist","USSM17900816"
"Let It Be","The Beatles","1","People Jams","Playlist","GBUM71505906"
"Take A Chance On Me","ABBA","The Album","People Jams","Playlist","SEAYD7702020"
"I Need Never Get Old","Nathaniel Rateliff & The Night Sweats","Nathaniel Rateliff & The Night Sweats","People Jams","Playlist","USC4R1503359"
"Beggin'","Måneskin","Chosen","People Jams","Playlist","ITB001700846"
"Tainted Love","Soft Cell","Non-Stop Erotic Cabaret","People Jams","Playlist","GBF088100017"
"You're The One That I Want (From “Grease”)","John Travolta","Grease (The Original Motion Picture Soundtrack)","People Jams","Playlist","NLF057890004"
"Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition","People Jams","Playlist","USSM19902989"
"Cecilia","Simon & Garfunkel","Bridge Over Troubled Water","People Jams","Playlist","USSM16900181"
"Finesse","Bruno Mars","24K Magic","People Jams","Playlist","USAT21602952"
"Chiquitita","ABBA","Voulez-Vous","People Jams","Playlist","SEAYD7901080"
"Stand by Me","Ben E. King","Some Oldies","People Jams","Playlist","USAT21402270"
"American Pie","Don McLean","American Pie","People Jams","Playlist","USEM38600088"
"The Final Countdown","Europe","The Final Countdown (Expanded Edition)","People Jams","Playlist","USSM18600196"
"It's My Life","Bon Jovi","Crush","People Jams","Playlist","USIR20000145"
